DATE_CREATED,TURBIDEZ,PH,TEMPERATURA,TDS,CONDUTIVIDADE
2023-11-15 00:06:09,0.5,6.96,26.7,102.2,204.22
2023-11-15 00:06:50,0.5,6.92,25.88,102.38,208.31
2023-11-15 00:07:31,0.5,6.97,26.66,102.11,204.4
2023-11-15 00:08:12,0.5,6.92,26.79,104.16,203.86
2023-11-15 00:08:53,0.5,6.97,26.84,102.2,203.69
2023-11-15 00:09:34,0.5,6.96,26.84,101.93,203.69
2023-11-15 00:10:16,0.5,6.96,26.88,101.84,204.67
2023-11-15 00:10:58,0.5,6.94,26.97,101.84,203.16
2023-11-15 00:11:37,0.5,6.97,26.84,102.34,204.27
2023-11-15 00:12:19,0.5,6.96,26.79,101.58,205.62
2023-11-15 00:13:01,0.5,6.96,26.95,102.14,203.25
2023-11-15 00:13:41,0.5,6.98,26.9,102.81,203.42
2023-11-15 00:14:23,0.5,6.95,27.02,101.62,202.98
2023-11-15 00:15:04,0.5,07.02,26.88,101.71,204.09
2023-11-15 00:15:44,0.5,6.99,27.02,101.49,204.15
2023-11-15 00:16:25,0.5,7.0,26.99,102.05,204.23
2023-11-15 00:17:07,0.5,07.02,26.12,102.07,207.23
2023-11-15 00:17:48,0.5,6.98,26.88,102.11,205.27
2023-11-15 00:18:29,0.5,07.01,26.72,103.61,204.73
2023-11-15 00:19:10,0.5,6.98,26.97,102.63,205.48
2023-11-15 00:19:51,0.5,07.01,26.97,102.37,205.48
2023-11-15 00:20:32,0.5,6.98,26.28,102.65,208.43
2023-11-15 00:21:14,0.5,6.99,27.43,102.74,203.74
2023-11-15 00:21:42,0.5,6.98,26.86,102.74,205.93
2023-11-15 00:22:25,0.5,07.04,27.08,104.22,205.04
2023-11-15 00:23:07,0.5,6.99,26.97,101.87,205.48
2023-11-15 00:23:47,0.5,07.03,27.06,102.96,205.12
2023-11-15 00:24:29,0.5,07.01,27.06,102.52,205.12
2023-11-15 00:25:11,0.5,07.03,27.61,102.74,203.03
2023-11-15 00:25:51,0.5,07.04,27.18,102.56,204.68
2023-11-15 00:26:32,0.5,07.02,27.47,102.56,202.98
2023-11-15 00:27:14,0.5,07.07,26.93,101.51,205.66
2023-11-15 00:27:54,0.5,07.02,26.37,102.34,207.39
2023-11-15 00:28:35,0.5,07.07,27.15,101.49,204.76
2023-11-15 00:29:16,0.5,07.01,27.04,102.83,204.63
2023-11-15 00:29:58,0.5,07.05,27.06,103.7,205.12
2023-11-15 00:30:39,0.5,7.0,26.02,102.38,209.62
2023-11-15 00:31:23,0.5,07.05,27.18,102.32,203.52
2023-11-15 00:32:01,0.5,07.03,27.18,102.56,204.68
2023-11-15 00:32:42,0.5,07.03,27.06,104.81,205.12
2023-11-15 00:33:23,0.5,07.05,27.15,101.76,204.77
2023-11-15 00:34:05,0.5,07.04,27.09,102.34,205.03
2023-11-15 00:34:46,0.5,07.09,27.0,102.56,205.39
2023-11-15 00:35:27,0.5,07.04,27.11,102.38,204.94
2023-11-15 00:36:08,0.5,07.09,27.15,102.52,204.77
2023-11-15 00:36:49,0.5,07.06,27.29,102.7,204.23
2023-11-15 00:37:30,0.5,7.1,27.18,102.47,204.68
2023-11-15 00:38:13,0.5,07.02,27.24,102.38,204.41
2023-11-15 00:38:52,0.5,07.06,26.91,102.12,205.75
2023-11-15 00:39:33,0.5,07.06,27.2,102.34,204.59
2023-11-15 00:40:15,0.5,07.05,27.29,102.2,204.23
2023-11-15 00:40:56,0.5,07.08,27.11,102.87,204.94
2023-11-15 00:41:37,0.5,07.05,27.13,102.29,204.85
2023-11-15 00:42:18,0.5,7.11,27.27,102.12,204.32
2023-11-15 00:43:00,0.5,07.05,27.2,102.47,204.59
2023-11-15 00:43:41,0.5,07.09,27.4,102.43,203.8
2023-11-15 00:44:21,0.5,07.05,27.13,102.16,204.85
2023-11-15 00:45:02,0.5,07.06,27.45,102.29,203.62
2023-11-15 00:45:43,0.5,07.06,27.31,101.9,204.14
2023-11-15 00:46:25,0.5,07.09,27.56,102.43,203.19
2023-11-15 00:47:06,0.5,07.08,27.29,101.81,204.23
2023-11-15 00:47:47,0.5,07.07,27.38,102.07,203.88
2023-11-15 00:48:28,0.5,7.1,27.22,101.6,203.92
2023-11-15 00:49:09,0.5,07.07,27.45,102.12,203.62
2023-11-15 00:49:50,0.5,7.1,27.2,101.94,204.59
2023-11-15 00:50:32,0.5,07.06,27.42,101.96,203.71
2023-11-15 00:51:13,0.5,07.09,27.4,101.81,203.79
2023-11-15 00:51:55,0.5,07.07,27.45,102.3,203.62
2023-11-15 00:52:35,0.5,7.12,27.47,101.85,203.53
2023-11-15 00:53:16,0.5,7.11,27.36,101.9,203.98
2023-11-15 00:53:57,0.5,7.11,27.86,101.81,202.06
2023-11-15 00:54:38,0.5,07.09,27.36,101.77,203.97
2023-11-15 00:55:19,0.5,07.06,27.29,101.99,204.24
2023-11-15 00:56:01,0.5,7.13,27.45,101.03,204.19
2023-11-15 00:56:42,0.5,7.1,27.36,101.99,203.97
2023-11-15 00:57:23,0.5,7.16,27.38,102.12,203.88
2023-11-15 00:58:04,0.5,7.1,27.45,102.1,203.62
2023-11-15 00:58:45,0.5,7.13,27.86,101.99,202.08
2023-11-15 00:59:26,0.5,7.13,27.33,101.94,204.06
2023-11-15 01:00:08,0.5,7.13,27.47,101.81,203.53
2023-11-15 01:00:48,0.5,7.13,27.4,101.04,203.8
2023-11-15 01:01:29,0.5,7.13,27.49,102.03,203.44
2023-11-15 01:02:11,0.5,7.15,27.47,101.76,203.53
2023-11-15 01:02:52,0.5,7.1,27.54,101.9,203.27
2023-11-15 01:03:33,0.5,7.16,27.61,101.72,203.01
2023-11-15 01:04:14,0.5,7.11,27.31,101.77,204.15
2023-11-15 01:04:55,0.5,7.15,27.38,101.63,203.88
2023-11-15 01:05:36,0.5,07.08,27.54,101.5,203.26
2023-11-15 01:06:17,0.5,7.14,27.9,102.07,201.89
2023-11-15 01:06:59,0.5,7.15,27.47,101.94,203.53
2023-11-15 01:07:39,0.5,7.12,27.61,101.63,203.0
2023-11-15 01:08:21,0.5,7.17,27.56,100.95,203.17
2023-11-15 01:09:02,0.5,7.14,27.67,101.77,202.74
2023-11-15 01:09:43,0.5,7.18,27.49,101.5,203.44
2023-11-15 01:10:24,0.5,7.16,27.52,101.59,203.36
2023-11-15 01:11:06,0.5,7.18,27.52,101.37,203.93
2023-11-15 01:11:46,0.5,7.15,27.52,101.72,203.35
2023-11-15 01:12:27,0.5,7.14,27.47,101.68,204.68
2023-11-15 01:13:09,0.5,7.15,26.6,101.96,207.18
2023-11-15 01:13:50,0.5,7.12,27.58,101.68,203.09
2023-11-15 01:14:31,0.5,7.15,27.47,102.34,204.68
2023-11-15 01:15:12,0.5,7.14,27.67,103.59,200.47
2023-11-15 01:15:53,0.5,7.19,27.58,101.54,205.38
2023-11-15 01:16:34,0.5,7.17,27.61,102.34,204.72
2023-11-15 01:17:15,0.5,7.17,28.02,100.24,202.59
2023-11-15 01:17:50,0.5,7.18,27.67,102.69,203.89
2023-11-15 01:17:56,0.5,7.24,27.86,102.36,202.62
2023-11-15 01:18:38,0.5,7.16,27.58,101.29,203.66
2023-11-15 01:19:19,0.5,7.2,27.49,101.94,205.17
2023-11-15 01:20:00,0.5,7.18,27.29,101.31,204.82
2023-11-15 01:20:41,0.5,7.21,27.86,101.83,203.19
2023-11-15 01:21:22,0.5,7.14,27.79,102.58,202.87
2023-11-15 01:22:03,0.5,7.19,27.86,102.41,203.19
2023-11-15 01:22:44,0.5,7.15,27.83,101.6,202.7
2023-11-15 01:23:26,0.5,7.18,27.61,101.44,203.57
2023-11-15 01:24:07,0.5,7.15,27.65,101.59,204.54
2023-11-15 01:24:48,0.5,7.17,27.74,101.35,202.48
2023-11-15 01:25:30,0.5,7.19,27.61,101.79,204.15
2023-11-15 01:26:10,0.5,7.15,27.67,102.27,204.46
2023-11-15 01:26:51,0.5,7.15,26.49,101.24,208.8
2023-11-15 01:27:33,0.5,7.17,27.97,102.07,202.76
2023-11-15 01:28:14,0.5,7.18,27.72,102.23,203.14
2023-11-15 01:28:54,0.5,7.2,27.92,104.4,203.49
2023-11-15 01:29:35,0.5,7.17,27.7,101.38,203.79
2023-11-15 01:30:17,0.5,7.19,27.74,101.57,203.62
2023-11-15 01:30:58,0.5,7.2,27.77,101.75,202.96
2023-11-15 01:31:39,0.5,7.24,27.67,101.9,203.31
2023-11-15 01:32:20,0.5,7.17,27.7,101.81,203.79
2023-11-15 01:33:01,0.5,7.2,28.2,101.48,202.51
2023-11-15 01:33:42,0.5,7.16,27.56,101.65,200.88
2023-11-15 01:34:23,0.5,7.2,27.65,101.9,201.1
2023-11-15 01:35:05,0.5,7.18,27.63,101.25,201.19
2023-11-15 01:35:46,0.5,7.17,27.67,100.51,201.02
2023-11-15 01:38:24,0.5,7.17,27.81,100.44,199.93
2023-11-15 01:39:10,0.5,7.21,27.7,100.55,200.36
2023-11-15 01:39:51,0.5,7.24,27.86,100.59,199.76
2023-11-15 01:40:32,0.5,7.2,27.72,100.51,200.27
2023-11-15 01:41:14,0.5,7.23,27.74,99.96,200.19
2023-11-15 01:41:55,0.5,7.28,27.65,100.18,200.53
2023-11-15 01:42:36,0.5,7.25,27.74,99.88,200.19
2023-11-15 01:43:16,0.5,7.22,27.88,100.14,199.68
2023-11-15 01:43:57,0.5,7.24,27.65,100.09,200.53
2023-11-15 01:44:39,0.5,7.21,27.31,100.27,201.88
2023-11-15 01:45:20,0.5,7.2,27.83,100.09,199.85
2023-11-15 01:46:01,0.5,7.29,27.7,99.84,200.37
2023-11-15 01:46:42,0.5,7.26,27.79,100.27,200.02
2023-11-15 01:47:23,0.5,7.24,27.67,100.94,200.45
2023-11-15 01:48:04,0.5,7.26,27.76,99.92,200.67
2023-11-15 01:48:45,0.5,7.27,27.7,100.18,200.36
2023-11-15 01:49:26,0.5,7.25,27.81,100.01,199.93
2023-11-15 01:50:07,0.5,7.3,27.79,100.22,200.59
2023-11-15 01:50:49,0.5,7.26,27.74,100.34,200.19
2023-11-15 01:51:29,0.5,7.3,27.81,100.18,201.08
2023-11-15 01:52:11,0.5,7.3,27.79,99.97,200.59
2023-11-15 01:52:52,0.5,7.27,27.79,100.3,201.16
2023-11-15 01:53:33,0.5,7.27,27.77,100.1,200.1
2023-11-15 01:54:14,0.5,7.29,27.81,99.88,201.07
2023-11-15 01:54:38,0.5,7.31,27.81,100.54,201.08
2023-11-15 01:55:26,0.5,7.3,27.79,100.3,201.16
